,,¶º°³¶º,Toymong tv ÅäÀÌ¸ùTV,¶Çº¿ V (Tobot V),TV-People,SonicToy¼Ò´ÐÅäÀÌ,ibighit,VIVA DANCE STUDIO,Boram Tube ToysReview [º¸¶÷Æ©ºê ÅäÀÌ¸®ºä],Äá¼øÀÌ?½ÃÅ©¸´ ÁêÁê (Kongsuni?Secret Jouju),ssin ¾À´Ô,SBS Drama,With Kids[À§µåÅ°Áî],MBCdrama,GOT7,Maangchi,FRAN,RISABAE,ASMR PPOMO,½´±â´Ô,ÅÂ°æ TV,SMTOWN,JTBC Entertainment,Travel Thirsty,MariAndFriends,Boram Tube [º¸¶÷Æ©ºê],KBSEntertain,JAY PARK,[ÅäÀÌÇªµù] ToyPudding TV,STUDIO ONSTYLE,BANGTANTV,MariAndToys,Ä³¸®TV CarrieTV,BLACKPINK,GIRLS' GENERATION,MariAndKids,Ã¢Çö°Å¸®³ë·¡¹æ ½öÄ«ÆäKPOP COVER STREET KARAOKE,»Ç·Î·Î(Pororo),ALL THE K-POP,¾Ç¾î À¯Æ©ºê,PONY Syndrome,M2,¼­ÀºÀÌ¾ß±â[SeoeunStory],[Dorothy]µµ·Î½Ã,iKON,starshipTV,¾ç¼öºó,¿Í½ç¸Ç-Wassup Man,¾ç¶ò À¯Æ©ºê,¹êÂê,4Minute Æ÷¹Ì´Ö(Official YouTube Channel),Stone Music Entertainment,jypentertainment,WINNER,Mnet K-POP,ToyMart TV,²ÚTV(Kkuk TV),GOD-TUK,SBSNOW,[Awesome Haeun]¾î½æÇÏÀº,ÇìÀÌÁö´Ï Hey Jini,MBCkpop,KBSKpop,Àç³Í,Mnet Official,³ªµµNado,SEVENTEEN,¿µ±¹³²ÀÚ Korean Englishman,Àá¶ã TV,µð¹ÙÁ¦½ÃÄ«DeevaJessica,°ø´ë»ý º¯½ÂÁÖ,µµÆ¼ TV,DramaKBS,MBCentertainment,ÇÃ·¹ÀÌ¸®½ºÆ®,Sungha Jung,JTBC Drama,JFlaMusic,Å©¸²È÷¾î·ÎÁî,waveya 2011,SBS Entertainment,2NE1,woolliment,TOY GUMA,Åð°æ¾Æ ¾à¸ÔÀÚ,The World of Daveµ¥ÀÌºê,ÇÎÅ©Æþ (ÀÎ±â µ¿¿ä?µ¿È­),Robocar POLI TV,officialpsy,µù°í ¹ÂÁ÷ / dingo music,º¸°â TV,²ÜÅ°honeykki,1MILLION Dance Studio,1theK (¿ø´õÄÉÀÌ),BEAST ºñ½ºÆ® (Official YouTube Channel),ToyFamily,EBSKids (EBS À¯¾Æ),Lime Tube[¶óÀÓÆ©ºê],lamuqe,TWICE,BIGBANG
2018-12-17 15:23,20,92896,181766,128729,124939,206452,609401,17009,1399742,394668,4056,90251,135412,206636,168319,22626,55037,14137,37342,19825,32289,1158711,344572,238022,95719,147095,210614,26983,624717,19935,169131,139792,52266,1054073,167,176545,82878,176197,127781,17707,11854,189956,157041,69648,166954,82247,-12847,12165,15209,32748,17180,302847,486822,98034,709930,249369,13460,13484,141045,50063,92482,278590,146354,20371,256300,31368,57536,30751,36471,33500,34279,37788,227158,375454,32911,22593,174366,179587,97206,34249,141262,27742,13575,88342,12437,12407,466986,167557,90636,36788,63389,11548,261521,918180,8047,81944,167855,235785,20234,35920,155928
2018-12-17 18:23,21,149323,196688,141864,139831,283704,745629,22882,1511853,360177,5900,105331,167069,290439,130716,28857,76848,24526,51191,29819,48003,1667918,512083,351978,128210,238412,302750,37551,987290,30842,245953,178665,67147,1626052,255,243825,120473,249907,200446,25182,19486,239852,216437,123470,257936,106661,80825,21790,22858,50305,22455,487836,735245,151075,1060659,256400,17724,23888,235984,78855,129906,428058,218836,28247,409763,52195,80042,51437,80087,51913,55493,62348,310450,530785,105570,33908,237569,292137,146941,37934,188448,40524,19235,104619,22915,19137,548997,251717,119784,57060,97491,19973,357656,1281363,14605,98570,242916,271490,23482,52091,246137
2018-12-17 21:23,22,165722,281743,214194,204257,233077,491124,20809,1928934,467785,6446,101725,151726,297262,153083,26247,85614,29447,48774,35932,108802,1332607,455166,286907,151148,172672,289456,30377,731993,41323,188166,150330,68473,1241450,143,162913,118049,211523,168478,43333,18744,200242,182316,131814,215412,84433,81531,17334,34328,56155,15911,446802,594226,173482,891143,180412,46688,26436,218329,86933,130324,331533,180856,114433,387200,64870,64710,48959,165149,51798,158821,139371,282982,532508,164724,27413,224078,293840,119336,30579,151831,33472,17277,74293,16830,21019,360463,175195,97167,56422,100493,17558,288040,1093659,12984,75095,217684,209169,23217,50091,193721
2018-12-18 0:23,23,219012,317469,207464,156420,310429,687181,21113,1715226,495873,7765,102079,209491,323382,116627,27457,100164,39124,37477,61386,163999,1066270,462157,318747,251881,224813,340645,29963,765818,53126,177282,179810,154942,1319528,198,218763,149024,329358,179450,84860,17540,223279,310869,212375,219791,85497,84910,19902,63883,83193,14899,437881,659292,177661,833584,207966,70603,61114,247406,104658,238443,316316,178126,109141,421313,114207,73734,58065,225578,61128,353484,257037,274553,618508,206495,26776,237305,335657,116416,47988,144915,34459,17831,80903,32862,28084,535048,188256,116490,63601,173693,20374,339881,1146361,14692,85145,417238,301829,20130,58649,223636
2018-12-18 3:23,24,142770,110909,167593,115302,148831,241954,16284,1459817,436900,6133,64357,152397,246838,91240,15369,91531,11632,23322,28846,104067,610792,269531,157884,194872,158910,55796,20914,664426,29086,171715,143518,106658,646675,138,250302,135710,210113,138921,38413,18171,140227,262889,177140,186578,47217,53545,11711,14888,47659,13322,377472,344575,-2076,713737,158526,43705,5557,176840,74743,147157,215691,146433,75759,275238,53298,58809,42568,117855,53176,237770,197908,187701,397418,164304,25168,132687,237764,77579,16913,114961,22838,-15262,73348,179350,20767,271562,155882,89714,35235,139762,10962,190803,749740,5082,97082,365748,278919,22550,38499,162622
2018-12-18 6:24,25,573478,653596,303072,331547,752654,1567388,55590,4015310,750539,17529,264986,387323,610769,444307,56939,344423,87529,144720,177450,123267,3039415,1054463,919251,365980,524388,841490,-57287,1928610,95565,421753,425555,144923,2621592,345,401303,350926,292707,404990,104774,44084,505987,419035,453740,377168,241700,244900,33772,88175,180795,50294,784650,1387367,414442,1847272,617099,69577,191667,466048,182079,306558,683508,384392,82781,987839,223793,146491,127399,125379,109216,222027,198451,611113,1176426,279957,57881,797418,655852,259436,103700,325283,77042,59542,264077,137620,60797,800902,347882,262421,150159,442198,50248,1004875,2496775,27523,61331,461893,468089,45459,129216,459327
2018-12-18 9:23,26,142294,148109,78366,149248,239379,688711,20720,1342202,248901,6656,146973,129555,284880,78609,25041,99504,19137,69640,41884,20684,1040072,354198,281159,116412,125608,219191,26118,545472,18366,146255,133439,30910,655222,121,182652,93584,80715,124875,23057,15894,145151,122390,120989,116424,90790,58468,6355,19031,56535,20577,233497,417426,79153,576603,265728,11550,28413,154056,38384,98563,215442,110796,18898,277402,40840,49658,39691,21852,40377,38831,25638,264666,427884,58789,27193,292188,152467,81327,43725,155929,28679,12018,121318,43396,16477,313164,130867,149485,38726,65771,16863,332913,864370,7447,70379,122728,209324,10675,26146,155103
2018-12-18 12:23,27,112276,124503,81607,155634,235445,915418,22656,1469447,379941,4346,126969,139183,280630,109925,29267,85868,12521,60664,26339,18056,1326166,355687,333797,104842,137146,202362,37689,537060,19873,205561,123998,27410,945202,154,205104,82178,86979,144387,19920,14091,154287,148573,104197,138695,122539,58138,9958,16785,43877,29052,301999,621203,94931,679796,286002,7199,19985,142047,35668,88804,233561,131958,11687,273972,32334,68135,38029,23420,42958,40217,24233,252771,444425,39092,30563,276835,172888,82456,52341,174604,34528,16607,148057,31087,17561,410435,178742,152740,37822,63905,17213,431954,1080320,9487,76393,130330,244263,9843,37205,187454
2018-12-18 15:23,28,88074,210275,132522,142275,187692,715357,19518,1362233,381659,4284,94412,143250,215976,125567,25828,60372,13062,38249,20827,32159,1225535,376301,235615,104368,163749,192274,32897,651975,19969,171697,141277,55149,1378665,51,181796,86532,193995,145437,16708,13236,159957,169303,80078,189619,96747,49419,10926,14547,30896,21846,352407,598313,105846,719653,256603,13406,18047,157690,44311,114843,276948,142675,14526,292231,28151,63173,34730,36435,46473,35663,52559,222034,415726,40068,26584,226433,172578,137927,39713,153033,33577,15360,115046,26551,16264,517712,192954,110537,42822,67202,12996,320214,1063857,9987,81112,157935,289869,7607,39989,178163
2018-12-18 18:23,29,102583,237400,145628,137449,252380,753211,19391,1643754,380880,3424,66283,152096,175631,119663,26764,65286,14491,36345,24545,23916,1359236,384779,291290,103967,187208,167535,31361,870743,22602,188081,155296,37169,1677909,142,166041,98742,157426,168729,11740,16993,174089,153720,105408,235922,101653,65222,15622,10829,31182,19352,424620,677885,215327,858871,221230,9990,19751,167532,56838,99334,294510,151920,15941,345556,40115,70807,49422,38144,37377,40577,36621,183515,367005,53733,27729,220448,239799,166192,32317,134854,38732,16048,105602,30661,16781,468094,175048,103691,46996,69922,15519,356873,1177591,14462,97004,131756,217178,8209,51802,235346
