,,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
2019-10-14,94,11,64,13,40,20,27,0,36,12,0,60,55,20,0,0,17,0
2019-10-21,95,33,75,75,20,20,0,20,18,46,0,40,45,40,20,0,33,57
2019-10-28,96,11,46,38,20,40,9,20,27,42,0,40,18,60,10,0,17,14
2019-11-04,97,22,61,50,0,20,9,40,9,46,0,0,45,60,10,0,17,29
2019-11-11,98,0,25,13,20,20,18,20,0,15,0,20,9,60,30,0,17,0
2019-11-18,99,0,32,25,40,20,18,0,27,69,0,20,0,20,100,0,33,14
2019-11-25,100,0,57,50,0,100,0,20,27,42,0,0,18,20,0,0,0,14
2019-12-02,101,22,39,13,60,0,18,30,0,69,0,0,18,20,40,0,0,0
2019-12-09,102,0,39,38,20,0,9,0,18,62,0,0,64,0,0,0,0,43
2019-12-16,103,11,29,0,40,100,27,10,45,54,0,20,0,0,20,0,33,14
2019-12-23,104,11,39,25,40,100,27,10,18,35,67,0,18,0,0,0,17,29
2019-12-30,105,11,43,25,20,0,9,10,18,23,0,20,27,0,0,50,0,71
2020-01-06,106,11,64,0,40,20,0,0,36,38,0,20,0,0,40,17,50,14
2020-01-13,107,44,46,13,40,0,9,20,0,12,0,0,9,20,10,0,33,14
2020-01-20,108,44,36,0,0,80,0,0,0,19,0,0,18,0,40,0,17,14
2020-01-27,109,11,29,0,20,20,0,10,0,31,0,20,27,20,10,0,0,0
2020-02-03,110,0,39,13,20,20,9,0,0,46,0,20,36,0,50,0,17,0
2020-02-10,111,11,21,13,40,0,9,0,0,19,0,0,36,0,20,0,0,29
2020-02-17,112,0,25,13,0,0,9,100,0,38,0,0,0,0,10,17,0,0
2020-02-24,113,0,11,0,0,0,0,10,0,19,0,0,0,0,0,0,17,0
2020-03-02,114,0,7,0,0,0,9,0,0,8,0,0,0,0,10,0,67,0
2020-03-09,115,0,18,13,0,0,9,10,0,15,0,20,9,0,10,17,0,0
2020-03-16,116,0,18,0,20,0,9,0,0,4,0,0,9,0,0,0,17,0
2020-03-23,117,0,7,0,20,0,9,0,0,19,0,0,0,0,10,0,17,0
2020-03-30,118,0,7,63,40,20,18,10,9,0,0,20,0,40,0,0,0,14
2020-04-06,119,11,7,13,0,0,0,20,9,35,0,0,0,0,0,33,17,0
2020-04-13,120,11,11,0,0,20,55,0,9,19,0,0,18,0,0,0,17,0
2020-04-20,121,22,29,38,20,20,0,0,0,19,0,0,45,0,0,0,33,29
2020-04-27,122,11,29,0,20,0,18,10,9,54,0,0,9,0,0,0,83,0
2020-05-04,123,0,14,38,40,0,18,0,18,19,0,20,9,0,0,0,33,0
2020-05-11,124,11,14,25,20,20,0,0,0,31,33,0,18,20,20,33,0,0
2020-05-18,125,22,36,0,0,0,0,0,0,23,0,0,0,0,0,17,17,0
2020-05-25,126,0,14,13,0,0,18,0,0,19,0,0,0,20,0,17,83,14
2020-06-01,127,11,32,25,20,40,36,10,18,19,0,20,27,20,0,0,50,43
2020-06-08,128,0,25,0,0,0,9,0,9,19,0,0,18,20,0,0,83,29
2020-06-15,129,22,21,25,20,0,36,0,0,46,0,20,18,0,10,0,0,0
2020-06-22,130,22,4,0,0,40,0,0,36,23,0,0,27,0,0,50,17,0
2020-06-29,131,22,64,0,40,0,18,10,0,15,0,20,9,0,20,17,33,29
2020-07-06,132,0,21,50,60,20,0,20,0,15,0,0,27,0,0,0,0,43
2020-07-13,133,0,29,13,40,40,18,0,9,35,0,20,9,0,20,0,33,14
2020-07-20,134,11,43,25,20,20,9,0,27,19,33,0,18,20,10,0,17,43
2020-07-27,135,11,25,13,20,0,9,10,45,23,0,100,27,0,10,17,17,14
